seed,x0_equation,x0_test_drift_mse
0,-1.06*x0*(x0**2 - 0.957),0.003096478059887886
1,x0*(0.918 - 0.931*x0**2),0.0008618346182629466
2,-0.947*x0*(x0**2 - 0.979),0.000629361835308373
3,-0.933*x0*(x0 - 1.0)*(x0 + 0.976),0.0015020995633676648
4,-0.952*x0*(x0**2 - 1.05),0.0032067024149000645
5,x0*(1.01 - 1.02*x0**2),0.00014319410547614098
6,-0.977*x0**3 + x0,0.0006841039867140353
7,x0*(0.948 - 0.941*x0**2),0.0008393423049710691
8,-0.929*x0*(x0**2 - 1.03),0.002218733076006174
9,-0.98*x0*(x0**2 - 1.0),8.004308620002121e-05
