seed,x0_equation,x0_test_drift_mse
0,-1.09*x0*(x0**2 - 1.13),0.015259397216141224
1,-0.927*x0*(x0**2 - 1.07),0.008959201164543629
2,-0.954*x0*(x0**2 - 1.11),0.013065670616924763
3,-0.909*x0*(x0**2 - 1.12),0.019681038334965706
4,x0*(1.11 - 0.963*x0**2),0.02512967213988304
5,x0*(1.04 - 0.932*x0**2),0.017442060634493828
6,x0*(1.12 - 1.01*x0**2),0.01097645703703165
7,-0.964*x0*(x0**2 - 1.11),0.013367992825806141
8,-0.991*x0*(x0**2 - 1.1),0.0091424360871315
9,-0.879*x0*(x0**2 - 1.1),0.01691242679953575
