seed,x0_equation,x0_test_drift_mse
0,-0.704*x0*(x0**2 - 1.51),1.7843706607818604
1,(x0 + 0.24)*(-0.588*x0*(x0 + 0.14) + 0.858),3.0297656059265137
2,x0*(-0.592*x0*(x0 - 0.202) + 0.825) - 0.0832,2.847125768661499
3,x0*(-0.591*x0*(x0 - 0.171) + 0.917) - 0.0509,3.032060384750366
4,-0.708*x0*(x0**2 - 1.85),2.232455015182495
5,(0.0334 - 0.783*x0)*(x0 - 1.2)*(x0 + 1.24),1.1385060548782349
6,-0.609*x0*(x0**2 - 1.52),2.773087739944458
7,x0*(1.28 - 0.722*x0**2),1.990604281425476
8,-0.429*x0**3,4.133918762207031
9,-0.658*x0*(x0**2 - 1.58),2.320723295211792
