seed,x0_equation,x0_test_drift_mse,x1_equation,x1_test_drift_mse
0,x0*(1.15 - 0.425*x1),0.36913979053497314,0.0957*x1*(x0 - 3.8),0.02381836622953415
1,x0*(1.06 - 0.4*x1),0.11445302516222,0.1*x1*(x0 - 3.95),0.0004320342850405723
2,-0.421*x0*(x1 - 2.84),0.29709959030151367,x1*(0.0938*x0 - 0.355),0.0412459522485733
3,-0.391*x0*(x1 - 2.81),0.08109888434410095,0.101*x1*(x0 - 4.06),0.0014490911271423101
4,x0*(1.11 - 0.409*x1),0.06526578962802887,0.1*x1*(x0 - 3.7),0.01627647876739502
5,-0.387*x0*(x1 - 2.72) + 0.114,0.10014349222183228,0.279*x1*(0.347*x0 - 1.37),0.008514137007296085
6,x0*(1.09 - 0.398*x1),0.004053652752190828,0.103*x1*(x0 - 3.55),0.045604392886161804
7,-0.387*x0*(x1 - 2.64),0.18823975324630737,x1*(0.102*x0 - 0.393),0.007866408675909042
8,x0*(1.06 - 0.396*x1) + 0.099,0.0366910845041275,0.103*x1*(x0 - 3.83),0.011125070974230766
9,-0.409*x0*(x1 - 2.86) - 0.0803,0.14031149446964264,0.0999*x1*(x0 - 3.33) - 0.113,0.051312949508428574
