seed,equations,test_drift_mse
0,"[-0.338*(0.00953*x0**2 + x0)*(x1 - 2.74), x1*(0.1*x0 - 0.364)]",0.8934759497642517
1,"[(1.25 - 0.491*x1)*(-0.0262*x0*x1 + x0), 0.108*x1*(x0 - 4.03)]",1.315097689628601
2,"[(0.0832 - 0.422*x0)*(x1 - 2.83), 0.105*x1*(x0 - 3.93)]",0.15214817225933075
3,"[(1.12 - 0.426*x1)*(-0.014*x0*x1 + x0), x1*(0.0968*x0 - 0.385)]",0.4221693277359009
4,"[(1.21 - 0.442*x1)*(-0.00943*x0*x1 + x0), 0.105*(x0 - 3.92)*(0.0281*x0 + x1 - 0.763)]",0.2805522084236145
5,"[(0.965 - 0.349*x1)*(0.0155*x0**2 + x0), (0.00216*x0 + 0.0944*x1)*(x0 - 4.14)]",4.733441352844238
6,"[(0.0587 - 0.428*x0)*(x1 - 2.79), (0.0906*x0 - 0.359)*(0.0382*x0 + x1 - 0.617)]",0.3514508306980133
7,"[(-0.0023*x0**2 - 0.34*x0)*(x1 - 2.78), 0.12*x1*(-0.0196*x0*x1 + x0 - 3.2)]",0.41403689980506897
8,"[(1.01 - 0.367*x1)*(0.00593*x0**2 + x0), x1*(0.106*x0 - 0.406)]",0.5292088985443115
9,"[-0.41*x0*(0.0163*x0 + x1 - 3.0), 0.103*x1*(x0 - 4.08)]",0.8248204588890076
