seed,x0_equation,x0_test_drift_mse
0,-1.08*x0 + x4*(x1 - 0.986*x3) + 4.1,0.03607124462723732
1,-1.09*x0 + x1*x4 - 0.989*x3*x4 + 4.14,0.04255678132176399
2,-1.13*x0 + (x1 - 0.974*x3)*(x4 + 0.0394) + 4.14,0.06959719955921173
3,-1.09*x0 + x4*(x1 - 0.983*x3) + 4.11,0.044607553631067276
4,-1.1*x0 + x1*x4 - 0.986*x3*x4 + 4.09,0.050204355269670486
5,-1.05*x0 + x4*(x1 - 0.974*x3) + 4.04,0.03648250550031662
6,-1.06*x0 + x4*(x1 - 0.982*x3) + 4.1,0.0307783130556345
7,-1.08*x0 + x4*(x1 - 0.986*x3) + 4.08,0.034493643790483475
8,-1.11*x0 + x4*(x1 - 0.987*x3) + 4.19,0.06707288324832916
9,-1.12*x0 + x4*(x1 - 0.983*x3) + 4.07,0.07329078018665314
