seed,x0_equation,x0_test_drift_mse,x1_equation,x1_test_drift_mse,x2_equation,x2_test_drift_mse
0,-1.0*x1 - 1.0*x2,5.082163625047542e-06,x0 + 0.192*x1,0.0012135342694818974,x2*(x0 - 5.93) + 0.339,0.653209388256073
1,-1.01*x1 - 1.01*x2,0.0033927569165825844,x0 + 0.191*x1,0.0015370207838714123,x2*(x0 - 5.91) + 0.334,0.5591036677360535
2,-1.01*x1 - 1.01*x2,0.0011627223575487733,x0 + 0.186*x1,0.004325633402913809,x2*(x0 - 5.9) + 0.358,0.5050446391105652
3,-0.995*x1 - 0.995*x2 + 0.00865,0.000850189826451242,x0 + 0.205*x1,0.00044538939255289733,-0.00964*x2**2 + x2*(x0 - 5.41),0.4868931472301483
4,-1.0*x1 - 1.0*x2,5.1026028813794255e-05,x0 + 0.182*x1,0.00700586661696434,x2*(x0 - 5.8) + 0.265,0.13424798846244812
5,-0.999*x1 - 0.999*x2,6.754326750524342e-05,x0 + 0.196*x1,0.00032128806924447417,x2*(x0 - 5.79) + 0.282,0.09099692106246948
6,-0.995*x1 - 0.995*x2,0.0009823950240388513,x0 + 0.199*x1,7.987357093952596e-06,x2*(x0 - 5.92) + 0.379,0.6139944791793823
7,-1.0*x1 - 1.0*x2,0.0004947222769260406,x0 + 0.198*x1,9.078779839910567e-05,x2*(x0 - 0.0118*x2 - 5.39),0.7670027017593384
8,-1.01*x1 - 1.01*x2,0.0019132279558107257,x0 + 0.192*x1,0.0012710996670648456,x2*(x0 - 5.81) + 0.308,0.1462506502866745
9,-0.998*x1 - 0.998*x2,8.632725803181529e-05,x0 + 0.211*x1,0.0025313636288046837,x2*(x0 - 5.85),0.3936278223991394
