seed,x0_equation,x0_test_drift_mse
0,(x0 + 0.403)*(x0*(0.918 - 1.06*x0) - 7.47),77.90876007080078
1,-0.807*x0*(x0**2 + 9.12) + 0.889,66.27880096435547
2,(-1.07*x0 - 0.484)*(x0*(x0 - 1.21) + 6.69),69.01432037353516
3,-0.977*x0*(x0**2 + 7.21),67.43531799316406
4,(0.168 - 0.536*x0)*(x0*(x0 + 1.43) + 14.7),63.80388641357422
5,x0**2*(-0.725*x0 - 0.54) - 7.26*x0 + 1.73,62.791099548339844
6,x0*(-0.758*x0**2 - 7.64),68.17630004882812
7,(0.141 - 0.743*x0)*(x0**2 + 10.5),73.7290267944336
8,-0.52*x0**3 - 9.14*x0,85.13153839111328
9,-0.734*x0*(x0**2 + 10.0),62.53722381591797
