seed,x0_equation,x0_test_drift_mse,x1_equation,x1_test_drift_mse
0,-0.00515*x0**2*x1 - 0.0103*x0 + x1,0.00034051641705445945,x0*(-0.986*x0*x1 - 1.01) + x1,0.0012616722378879786
1,-0.00999*x0 - 0.00999*x1*(x0**2 - 0.971) + x1,0.0004365472705103457,-1.01*x0**2*x1 - 1.01*x0 + x1,0.0006513546104542911
2,-0.00545*x0**2*x1 - 0.00985*x0 + x1,0.0003366288437973708,-0.993*x0 - 0.993*x1*(x0 - 0.982)*(x0 + 0.983),0.0026227275375276804
3,-0.0106*x0 - 0.0106*x1*(x0 - 0.995)*(x0 + 0.963) + x1,0.0004893569857813418,-1.0*x0*(x0*x1 + 0.982) + x1,0.00046783513971604407
4,-0.00569*x0**2*x1 - 0.0103*x0 + x1,0.00036692418507300317,-1.02*x0**2*x1 - 1.02*x0 + x1,0.0036605375353246927
5,-0.00273*x0**2*(x0 + 2*x1) + x1,0.0003017900453414768,-0.994*x0 - 0.994*x1*(x0 - 0.994)*(x0 + 0.996),0.00035920008667744696
6,-0.00521*x0**2*x1 - 0.00984*x0 + x1,0.00032477258355356753,x0*(-1.0*x0*x1 - 0.969) + x1,0.0020251860842108727
7,-0.00522*x0**2*x1 - 0.00999*x0 + x1,0.0003311660548206419,-1.01*x0*(x0*x1 + 0.989) + x1,0.0004322216263972223
8,-0.00515*x0**2*x1 - 0.0104*x0 + x1,0.00034458792652003467,x0*(-1.0*x0*x1 - 1.02) + x1,0.0004958997014909983
9,-0.00534*x0**2*x1 - 0.0101*x0 + x1,0.0003399833512958139,x0*(-1.02*x0*x1 - 1.01) + x1,0.0022270840127021074
