seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[-1.02*x0**3 + x0, -0.495]",0.0006506616482511163,2.2652748157270253e-05
1,"[x0*(0.917 - 0.914*x0**2), -0.490]",0.0014197700656950474,9.9184901046101e-05
2,"[-0.971*x0*(x0**2 - 0.977), -0.490]",0.00042392301838845015,0.00010175745410379022
3,"[-1.02*x0**3 + x0, 0.487]",0.00037429542862810194,0.00016603177937213331
4,"[-0.909*x0*(x0**2 - 1.02), 0.492]",0.002241404727101326,5.996837353450246e-05
5,"[-0.984*x0**3 + x0, 0.493]",0.000299187027849257,4.3229290895396844e-05
6,"[x0*(0.81 - 0.879*x0**2), 0.493]",0.004840944427996874,4.4157932279631495e-05
7,"[x0*(0.999 - 0.99*x0**2), -0.492]",0.00010479641787242144,6.440717697842047e-05
8,"[x0*(0.962 - 1.01*x0**2), -0.491]",0.0018239517230540514,8.00511843408458e-05
9,"[-0.809*x0*(x0**2 - 0.997), -0.491]",0.006571759004145861,7.731468213023618e-05
