seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[x0*(1.22 - 1.08*x0**2), -0.495*x0]",0.016369931399822235,2.076379314530641e-05
1,"[-0.961*x0*(x0**2 - 1.08), -0.49*x0]",0.007507756818085909,9.86231752904132e-05
2,"[x0*(1.04 - 0.945*x0**2), 0.49*x0 + 0.00384]",0.013219419866800308,9.102562762564048e-05
3,"[x0*(1.09 - 0.966*x0**2), -0.485*x0]",0.017586611211299896,0.0002058653481071815
4,"[-0.958*x0*(x0**2 - 1.16) + 0.0193, -0.491*x0 - 0.00629]",0.02766921930015087,8.335262100445107e-05
5,"[x0*(1.04 - 0.929*x0**2), -0.492*x0]",0.01773693971335888,5.726888048229739e-05
6,"[-0.996*x0*(x0**2 - 1.11), -0.491*x0]",0.011386086232960224,7.162109250202775e-05
7,"[x0*(1.1 - 0.99*x0**2), 0.491*x0]",0.012119553983211517,6.967246008571237e-05
8,"[x0*(1.13 - 1.03*x0**2), -0.491*x0]",0.008499698713421822,7.855283183744177e-05
9,"[x0*(1.01 - 0.923*x0**2), -0.49*x0]",0.013189657591283321,0.00010365511116106063
