seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[x0*(1.05 - 0.853*x0)*(x0 + 1.29), -0.471*x0**2 - 0.522]",0.7129994034767151,0.001366025535389781
1,"[x0*(1.22 - 0.726*x0**2), -0.459*x0**2 - 0.52]",1.3995931148529053,0.0032769886311143637
2,"[x0*(1.26 - 0.755*x0**2), 0.462*x0**2 + 0.518]",1.238257884979248,0.0028025039937347174
3,"[-0.748*x0*(x0**2 - 1.68), -0.46*x0**2 - 0.514]",1.2882174253463745,0.003347388468682766
4,"[x0*(1.25 - 0.677*x0**2), -0.465*x0**2 - 0.523]",1.9327019453048706,0.002133763860911131
5,"[x0*(1.21 - 0.664*x0**2), 0.476*x0**2 + 0.517]",1.9707493782043457,0.000995734939351678
6,"[x0*(1.18 - 0.714*x0**2), -0.471*x0**2 - 0.516]",1.4359341859817505,0.001515313284471631
7,"[x0*(1.15 - 0.675*x0**2), -0.471*x0**2 - 0.518]",1.7390507459640503,0.001522142207249999
8,"[-0.688*x0*(x0**2 - 1.61), 0.469*x0**2 + 0.515]",1.531383991241455,0.001829809509217739
9,"[-0.588*x0**3 + x0, -0.468*x0**2 - 0.518]",2.3164613246917725,0.0018489192007109523
