seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse
0,"[-0.396*x0*(x1 - 2.76), 0.042 - 0.191*x0]",0.009459136053919792,0.00840549636632204,"[0.101*x1*(x0 - 3.79), 0.0879 - 0.206*x1]",0.009715438820421696,0.004498808179050684
1,"[x0*(1.11 - 0.397*x1), -0.179*x0]",0.04095650464296341,0.02625574916601181,"[x1*(0.102*x0 - 0.411), 0.106 - 0.209*x1]",0.004586142022162676,0.005821041762828827
2,"[x0*(1.13 - 0.399*x1), 0.191*x0 - 0.0426]",0.04794393107295036,0.009478582069277763,"[x1*(0.0998*x0 - 0.37), 0.209*x1 - 0.0941]",0.015572091564536095,0.004447947721928358
3,"[-0.396*x0*(x1 - 2.81), -0.179*x0]",0.042941655963659286,0.02502191998064518,"[0.1*x1*(x0 - 3.81), 0.0762 - 0.2*x1]",0.006504776421934366,0.005331992171704769
4,"[-0.402*x0*(x1 - 2.88), 0.194*x0 - 0.0353]",0.16234737634658813,0.0050184098072350025,"[0.104*x1*(x0 - 3.75), 0.178*x1]",0.024976149201393127,0.008717050775885582
5,"[x0*(1.1 - 0.39*x1), 0.0524 - 0.193*x0]",0.08287286758422852,0.007639587391167879,"[0.101*x1*(x0 - 3.68), 0.101 - 0.212*x1]",0.018579915165901184,0.004650633782148361
6,"[-0.391*x0*(x1 - 2.82), -0.185*x0]",0.09591057151556015,0.013019612990319729,"[0.101*x0*x1 - 0.382*x1, 0.198*x1 - 0.068]",0.010187551379203796,0.005068141035735607
7,"[-0.383*x0*(x1 - 2.79), 0.179*x0]",0.1773948222398758,0.02511860989034176,"[x1*(0.104*x0 - 0.376), 0.205*x1 - 0.0833]",0.03569446876645088,0.004182398319244385
8,"[-0.383*x0*(x1 - 2.78), 0.0357 - 0.191*x0]",0.16966967284679413,0.008466829545795918,"[-0.316*x1*(1.2 - 0.31*x0), 0.0731 - 0.198*x1]",0.007052957080304623,0.005562232807278633
9,"[x0*(1.08 - 0.388*x1), 0.0327 - 0.188*x0]",0.09193321317434311,0.01260694395750761,"[0.105*x1*(x0 - 3.94), 0.0669 - 0.203*x1]",0.02305595763027668,0.003163795918226242
