seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse
0,"[-0.344*x0*(x1 - 3.06), -0.209*x0]",2.480593204498291,0.004959612153470516,"[0.105*x0*x1 - 0.378*x1, 0.0112*x0*x1 + 0.18*x1 - 0.0175]",0.045617904514074326,0.10596510022878647
1,"[-0.345*x0*(x1 - 3.09), 0.0194 - 0.226*x0]",2.5443737506866455,0.03687550500035286,"[0.106*x1*(x0 - 3.6), -0.00966*x0 - 0.208*x1 + 0.0578]",0.05753452703356743,0.004796809051185846
2,"[-0.337*x0*(x1 - 3.07), -0.206*x0]",2.930480480194092,0.0024325691629201174,"[x1*(0.113*x0 - 0.372), 0.00785*x0 + 0.192*x1]",0.24687352776527405,0.003460794687271118
3,"[-0.334*x0*(x1 - 3.12), -0.211*x0]",3.3679232597351074,0.0069821798242628574,"[0.107*x1*(x0 - 3.57), 0.0123*x0*x1 + 0.155*x1]",0.07340533286333084,0.1217605471611023
4,"[-0.321*x0*x1 + x0, 0.236*x0 - 0.0153]",4.350474834442139,0.07424484938383102,"[x1*(0.108*x0 - 0.379), (-0.0689*x0 - 1.05)*(0.16*x1 - 0.00314)]",0.08831719309091568,0.09736648947000504
5,"[x0*(1.07 - 0.351*x1), 0.206*x0]",2.0095932483673096,0.0022033019922673702,"[0.112*x1*(x0 - 3.67), -0.00756*x0 - 0.224*x1 + 0.0552]",0.14060133695602417,0.009675709530711174
6,"[x0*(1.07 - 0.328*x1), 0.0108 - 0.231*x0]",4.60582160949707,0.054864030331373215,"[0.123*x0*x1 - 0.399*x1, 0.0079*x0*x1 + 0.201*x1 - 0.0437]",0.5407018661499023,0.059985458850860596
7,"[-0.321*x0*x1 + x0 + 0.00548, 0.224*x0 - 0.0109]",4.27910852432251,0.03256078436970711,"[0.125*x1*(x0 - 3.34), -0.202*x1]",0.5770965814590454,5.851880268892273e-05
8,"[x0*(0.991 - 0.317*x1), -0.231*x0]",4.753625869750977,0.05759873986244202,"[0.104*x0*x1 - 0.418*x1, 0.000468*x0**2*x1 + 0.179*x1]",0.014070571400225163,0.25679811835289
9,"[-0.344*x0*x1 + x0, -0.000838*x0*x1**2 - 0.219*x0]",1.8909940719604492,0.1334095448255539,"[0.121*x1*(x0 - 3.24), 0.0147*x0*x1 + 0.183*x1 - 0.0235]",0.46644607186317444,0.19014877080917358
