seed,equations,test_drift_mse,test_diffusion_mse
0,"[-0.379*x0*(x1 - 2.95), x1*(0.114*x0 - 0.42), -0.217*x0, 0.00849*x0*x1 + 0.172*x1]",0.407349556684494,0.040024708956480026
1,"[x0*(1.15 - 0.39*x1), x1*(0.109*x0 - 0.377), 0.218*x0, -0.00969*x0*x1 - 0.178*x1]",0.28002190589904785,0.05201980471611023
2,"[-0.397*x0*(x1 - 2.9), x1*(0.111*x0 - 0.418), -0.228*x0, -0.0118*x0*x1 - 0.178*x1]",0.17293360829353333,0.0886475145816803
3,"[-0.397*x0*(x1 - 2.88), x1*(0.106*x0 - 0.378), -0.228*x0, -0.00852*x0*x1 - 0.175*x1]",0.12466815114021301,0.05703217536211014
4,"[x0*(1.13 - 0.389*x1), 0.106*x1*(x0 - 3.87) + 0.0142, -0.229*x0, -0.00658*x0*x1 - 0.175*x1]",0.18096207082271576,0.04608762264251709
5,"[x0*(1.21 - 0.397*x1), 0.104*x0*x1 - 0.378*x1, -0.203*x0, -0.0455*x0*x1 - 0.161*x1]",0.5190678834915161,1.0234591960906982
6,"[x0*(1.17 - 0.398*x1), x1*(-0.004*x0*x1 + 0.117*x0 - 0.386), -0.224*x0, -0.219*x1]",0.4965464770793915,0.022458290681242943
7,"[x0*(1.13 - 0.381*x1), 0.111*x1*(x0 - 3.54), 0.232*x0, 0.000506*x0**2*x1 + 0.188*x1]",0.4117206931114197,0.18072636425495148
8,"[x0*(1.16 - 0.398*x1), 0.108*x1*(x0 - 3.5), -0.228*x0, -0.00899*x0*x1 - 0.184*x1]",0.19082465767860413,0.06163309887051582
9,"[x0*(1.14 - 0.394*x1), 0.113*x0*x1 - 0.389*x1, -0.233*x0, -0.00826*x0*x1 - 0.193*x1]",0.2156645953655243,0.06914633512496948
