seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[-1.07*x0 + x1*x4 - 0.972*x3*x4 + 4.01, 0.204*x0]",0.048989709466695786,9.48457236518152e-05
1,"[-1.06*x0 + x1*x4 - 0.975*x3*x4 + 4.01, 0.206*x0 - 0.00689]",0.0399438701570034,0.00012223767407704145
2,"[(x4 - 0.0628)*(x1 - 0.946*x3 - 0.0907) + 3.8, -0.246*x0]",4.7081451416015625,0.011847344227135181
3,"[-1.12*x0 + x1*(x4 + 0.0867) - 0.968*x3*x4 + 3.98, -0.207*x0]",0.09063117206096649,0.0003134914149995893
4,"[-1.06*x0 + x4*(x1 - 0.974*x3) + 3.98, -0.203*x0]",0.04319087788462639,5.995394894853234e-05
5,"[-1.05*x0 + x1*x4 - 0.971*x3*x4 + 4.0, -0.208*x0]",0.03934970498085022,0.00041068324935622513
6,"[-1.09*x0 + 0.0763*x1 + x4*(x1 - 0.961*x3) + 3.98, 0.209*x0]",0.07984158396720886,0.000494344683829695
7,"[-1.05*x0 + x1*x4 - 0.978*x3*x4 + 3.97, -0.207*x0]",0.03087158128619194,0.0003006858460139483
8,"[-1.07*x0 + x4*(x1 - 0.971*x3) + 4.0, 0.207*x0]",0.052386511117219925,0.0002616954152472317
9,"[-1.05*x0 + x1*x4 - 0.983*x3*x4 + 3.99, -0.202*x0 - 0.00227*x1*(x2 + x4)]",0.021847723051905632,0.00041366828372702
