seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[-1.02*x0*(x0**2 - 1.23) - 0.197, -0.305*x0**2 - 1.11]",0.08578474074602127,0.2273760735988617
1,"[-0.932*x0*(x0**2 - 1.38), 0.309*x0**2 + 1.12]",0.2528088390827179,0.23081444203853607
2,"[-0.984*x0*(x0**2 - 1.36), 0.317*x0**2 + 1.1]",0.14980290830135345,0.22335483133792877
3,"[x0*(1.24 - 0.961*x0**2), -0.316*x0**2 - 1.12]",0.13594913482666016,0.23159824311733246
4,"[x0*(1.14 - 0.795*x0**2), 0.318*x0**2 + 1.12]",0.7530485391616821,0.23572133481502533
5,"[-0.871*x0*(x0**2 - 1.37), -0.331*x0**2 - 1.09]",0.4057040214538574,0.21881307661533356
6,"[x0*(1.06 - 0.845*x0**2), 0.312*x0**2 + 1.11]",0.38005754351615906,0.22237323224544525
7,"[-0.833*x0*(x0**2 - 1.32), -0.324*x0**2 - 1.11]",0.48623397946357727,0.22887231409549713
8,"[-0.774*x0*(x0**2 - 1.07), -0.312*x0**2 - 1.12]",0.520374596118927,0.23452235758304596
9,"[x0*(1.14 - 0.843*x0**2), -0.327*x0**2 - 1.1]",0.47397011518478394,0.2241252362728119
