seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse
0,"[-0.0102*x0 + x1, -5.56e-7]",0.00021575510618276894,3.088387022249367e-13,"[-0.995*x0**2*x1 - 1.02*x0 + x1, 0.0959*x0**2 + 0.203]",0.0010184838902205229,6.614128506043926e-05
1,"[-0.00533*x0**2*x1 - 0.0101*x0 + x1, 4.34e-15]",0.0003407742769923061,1.8857466198038114e-29,"[-1.03*x0**2*x1 - 1.03*x0 + x1, 0.0948*x0**2 + 0.208]",0.005264113657176495,6.813783693360165e-05
2,"[-0.00397*x0**2*x1 - 0.00795*x0 + x1, 5.46e-18]",0.0002031917974818498,2.9856569279302404e-35,"[-1.01*x0**2*x1 - 1.01*x0 + 0.979*x1, 0.097*x0**2 + 0.2]",0.003103802911937237,6.065290290280245e-05
3,"[-0.00595*x0**2*x1 - 0.00948*x0 + x1, -3.02e-11]",0.00034784572198987007,9.135976615255735e-22,"[x0*(-1.01*x0*x1 - 0.987) + x1, -0.423]",0.0004915964091196656,0.021376948803663254
4,"[-0.0107*x0 + x1, 0.0]",0.00023659590806346387,0.0,"[(-0.936*x0 + 0.301*x1)*(x0*x1 + 1.8), -0.0947*x0**2 - 0.219]",0.6993457078933716,0.00012133985728723928
5,"[-0.0103*x0 + x1, -2.62e-16]",0.0002182640746468678,6.867558319714403e-32,"[-1.0*x0**2*(0.316*x0 + x1) + x1, 0.0977*x0**2 + 0.209]",0.2549622058868408,3.330517210997641e-05
6,"[-0.00986*x0 + x1, 6.61e-12]",0.00020062913245055825,4.369766557916425e-23,"[-1.0*x0 + 0.908*x1*(1.08 - 1.08*x0**2), 0.0933*x0**2 + 0.199]",0.0005187939968891442,0.0003033000975847244
7,"[-0.00202*x0**2*x1 - 0.00548*x0 + x1, 0.000141]",8.08972108643502e-05,1.9896079450631987e-08,"[-1.02*x0*(x0*x1 + 1.02) + x1, 0.097*x0**2 + 0.198]",0.005216254387050867,8.173074456863105e-05
8,"[-0.00983*x0 + x1, 3.18e-22]",0.00019949921988882124,1.0089348943138683e-43,"[-1.0*x0**2*x1 - 1.0*x0 + 0.993*x1, 0.430]",0.00039890367770567536,0.02167920395731926
9,"[-0.011*x0 + x1, -3.21e-7]",0.0002501378476154059,1.0315633438597038e-13,"[-1.02*x0*(x0*x1 + 0.99) + x1, 0.097*x0**2 + 0.202]",0.0032013992313295603,4.08334490202833e-05
