seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[0.912x**1 -0.932x**3, 0.490]",0.000911782612092793,9.304006380261853e-05
1,"[1.006x**1 -1.036x**3, 0.497]",0.0012541881296783686,1.1832740710815415e-05
2,"[0.875x**1 -0.920x**3, 0.489]",0.0020332455169409513,0.00011116964742541313
3,"[0.923x**1 -0.949x**3, 0.491]",0.0007409151294268668,7.474375161109492e-05
4,"[1.107x**1 -1.034x**3, 0.500]",0.004099974874407053,9.14842530619353e-08
5,"[0.917x**1 -0.955x**3, 0.500]",0.0011489950120449066,3.3772953322852572e-09
6,"[0.953x**1 -0.968x**3, 0.493]",0.00026437261840328574,4.685111707658507e-05
7,"[0.964x**1 -0.967x**3, 0.493]",0.00018922807066701353,4.704471575678326e-05
8,"[0.963x**1 -0.936x**3, 0.488]",0.0017666337080299854,0.00014794475282542408
9,"[0.941x**1 -0.919x**3, 0.495]",0.0020640252623707056,2.2323454686556943e-05
