seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[1.084x**1 -0.972x**3, 0.497|x|]",0.013912830501794815,7.730826837359928e-06
1,"[1.058x**1 -0.966x**3, 0.499|x|]",0.00999495293945074,7.122338843146281e-07
2,"[0.993x**1 -0.888x**3, 0.488|x|]",0.020742325112223625,0.00012772063200827688
3,"[1.044x**1 -0.920x**3, 0.489|x|]",0.021505063399672508,0.0001132435500039719
4,"[1.015x**1 -0.891x**3, 0.493|x|]",0.025689033791422844,4.077369885635562e-05
5,"[1.065x**1 -0.923x**3, 0.493|x|]",0.026884865015745163,4.37383605458308e-05
6,"[1.106x**1 -1.020x**3, 0.495|x|]",0.006401710212230682,2.0888715880573727e-05
7,"[1.162x**1 -1.031x**3, 0.495|x|]",0.014795244671404362,2.7046617105952464e-05
8,"[1.049x**1 -0.954x**3, 0.496|x|]",0.011381259188055992,1.6298803529934958e-05
9,"[1.055x**1 -0.942x**3, 0.490|x|]",0.016708556562662125,9.276958735426888e-05
