seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[1.213x**1 -0.714x**3, 0.515 + 0.409x**2 + 0.079|x|]",1.3569177389144897,0.005669156555086374
1,"[1.076x**1 -0.637x**3, 0.524 + 0.462x**2]",1.76055109500885,0.002294747391715646
2,"[1.172x**1 -0.695x**3, 0.507 + 0.473x**2]",1.4343295097351074,0.0014307900564745069
3,"[1.153x**1 -0.758x**3, 0.487 + 0.414x**2 + 0.085|x|]",0.9311153292655945,0.005152850411832333
4,"[1.142x**1 + 0.109x**2 -0.668x**3, 0.482 + 0.394x**2 + 0.131|x|]",1.6862620115280151,0.005249032285064459
5,"[1.330x**1 -0.760x**3, 0.488 + 0.404x**2 + 0.111|x|]",1.2147769927978516,0.00461219297721982
6,"[1.168x**1 -0.681x**3, 0.505 + 0.446x**2 + 0.052|x|]",1.5493149757385254,0.001782145700417459
7,"[1.138x**1 -0.643x**3, 0.496 + 0.422x**2 + 0.075|x|]",1.833511471748352,0.004094970412552357
8,"[0.975x**1 -0.678x**3, 0.505 + 0.415x**2 + 0.080|x|]",1.2317403554916382,0.004712883848696947
9,"[-0.056 + 1.273x**1 -0.741x**3, 0.479 + 0.422x**2 + 0.100|x|]",1.2500476837158203,0.0027074457611888647
