seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse
0,"[1.047x0 -0.340x0x1, 0.266x0]",2.089691400527954,0.2591707110404968,"[-0.325x1 + 0.105x0x1, 0.233x1]",0.16853031516075134,0.018731923773884773
1,"[1.008x0 -0.346x0x1, 0.217x0]",1.3144357204437256,0.017304157838225365,"[-0.362x1 + 0.088x0x1, 0.216x1]",0.08343580365180969,0.0043438877910375595
2,"[1.047x0 -0.328x0x1, 0.209x0]",3.1692638397216797,0.0048177107237279415,"[-0.508x1 + 0.114x0x1, 0.229x1]",0.17860853672027588,0.01471580471843481
3,"[0.967x0 -0.317x0x1, 0.242x0]",3.2268824577331543,0.10450924932956696,"[-0.349x1 + 0.088x0x1, 0.220x1]",0.0886329934000969,0.0070264884270727634
4,"[1.081x0 -0.344x0x1, 0.224x0]",2.280237913131714,0.03265034779906273,"[-0.391x1 + 0.091x0x1, 0.242x1]",0.06348817050457001,0.03060523234307766
5,"[1.035x0 -0.344x0x1, 0.263x0]",1.6400737762451172,0.23147259652614594,"[-0.420x1 + 0.113x0x1, 0.212x1]",0.11796751618385315,0.0027136688586324453
6,"[1.058x0 -0.335x0x1, 0.284x0]",2.6638638973236084,0.4183642566204071,"[-0.279x1 + 0.100x0x1, 0.226x1]",0.25621169805526733,0.011617188341915607
7,"[0.975x0 -0.322x0x1, 0.234x0]",2.806523084640503,0.06765881180763245,"[-0.318x1 + 0.086x0x1, 0.220x1]",0.14213347434997559,0.006955132819712162
8,"[0.945x0 -0.336x0x1, 0.285x0]",1.671475887298584,0.4245373010635376,"[0.217 -0.387x1 + 0.079x0x1, 0.172 + 0.199x1]",0.2991456091403961,0.028924165293574333
9,"[0.950x0 -0.346x0x1, 0.256x0]",1.1791058778762817,0.1834174394607544,"[-0.458x1 + 0.105x0x1, 0.216x1]",0.04487428441643715,0.004527750890702009
