seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[0.514x1 + 0.235x2 -0.171x4 -0.131x5 + 0.080x6 + 0.129x11 + 0.418x16 + 0.222x18 -0.478x19 -0.081x1x18 + 0.194x1x19 -0.064x16x18 -0.087x18x19 -0.084x19x19, 0.745]",18.42936134338379,0.19314059615135193
1,"[0.389 -0.103x0 + 0.346x1 + 0.196x2 -0.416x4 + 0.134x6 + 0.095x7 + 0.202x16 -1.000x19 + 0.071x1x4 + 0.195x1x19 + 0.054x16x19 + 0.060x17x19 -0.102x18x19, 0.831]",17.237791061401367,0.2579183876514435
2,"[0.160 -0.209x0 + 0.180x1 + 0.135x2 -0.393x4 + 0.302x6 + 0.146x7 + 0.151x15 + 0.344x16 -0.882x19 + 0.075x0x1 + 0.093x1x4 -0.062x1x6 + 0.196x1x19 + 0.060x16x19 -0.070x18x19, 0.772]",17.52713966369629,0.21218957006931305
3,"[0.483x1 + 0.216x2 + 0.061x6 + 0.080x7 + 0.434x16 + 0.121x17 -0.098x18 -0.056x1x17 + 0.196x1x19 + 0.062x15x15 + 0.058x15x19 -0.063x16x18 -0.104x18x19 -0.267x19x19, 0.836]",16.87042999267578,0.26243191957473755
4,"[1.150 + 0.252x1 + 0.199x2 -0.475x4 + 0.201x7 -0.059x12 -0.095x13 + 0.314x16 -0.787x19 + 0.093x1x4 + 0.157x1x19 -0.078x3x19 -0.055x16x18 + 0.071x16x19 -0.065x18x19, 0.774]",17.5730037689209,0.2136055827140808
5,"[0.714 -0.132x0 + 0.521x1 + 0.228x2 -0.508x4 + 0.110x6 -0.083x14 + 0.247x16 -0.657x19 + 0.096x1x4 -0.079x1x18 + 0.137x1x19 + 0.052x3x18 -0.057x3x19 + 0.061x4x6 + 0.070x10x16 -0.056x16x18 + 0.065x16x19 -0.073x18x19, 0.797]",18.135095596313477,0.23086059093475342
6,"[0.638x1 + 0.224x2 -0.143x4 + 0.132x7 -0.108x9 -0.108x14 + 0.457x16 -0.893x19 + 0.206x1x19 -0.136x18x19, 0.831]",16.10856819152832,0.25800371170043945
7,"[1.035 -0.647x0 + 0.328x1 -0.380x4 -0.127x6 -0.096x13 + 0.210x16 -0.888x19 + 0.142x0x0 + 0.100x1x1 -0.056x1x3 + 0.089x1x4 -0.073x1x18 + 0.206x1x19 + 0.091x15x19 -0.057x16x18 + 0.086x16x19 -0.100x18x19 -0.099x19x19, 0.898]",15.800246238708496,0.3192438781261444
8,"[-0.204x0 + 0.382x1 + 0.116x2 -0.200x4 + 0.123x6 -0.094x13 + 0.449x16 -0.978x19 + 0.060x0x1 + 0.219x1x19 -0.080x16x18, 0.753]",19.36558723449707,0.19910922646522522
9,"[-0.539x0 + 0.482x1 + 0.165x2 -0.107x3 -0.241x4 + 0.059x6 + 0.094x8 -0.089x9 -0.132x14 + 0.457x16 -0.818x19 + 0.132x0x0 + 0.229x1x19 -0.058x3x19 -0.075x16x18 -0.073x18x19, 0.840]",16.23050880432129,0.26616865396499634
