seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse,x2_equation,x2_test_drift_mse,x2_test_diffusion_mse
0,"[-0.994x1 -1.083x2, 0.498]",0.07497099786996841,0.08950017392635345,"[1.001x0 + 0.198x1, 0.156|x1|]",0.00014445841952692717,0.06587854772806168,"[0.191 -5.182x2 + 0.901x0x2, 0.197x2]",1.3044601678848267,0.1003040224313736
1,"[-0.985x1 -0.977x2, 0.451 + 0.063|x0|]",0.010640649124979973,0.10586614906787872,"[1.014x0 + 0.184x1, 0.156|x1|]",0.011522491462528706,0.06553848832845688,"[0.155 -4.822x2 + 0.885x0x2 -0.062x1x2, 0.183x2]",1.9030232429504395,0.07392579317092896
2,"[-0.921x1 -1.006x2, 0.482]",0.13127948343753815,0.08605305850505829,"[0.993x0 + 0.232x1, 0.151|x1|]",0.02487792819738388,0.05492504686117172,"[0.182 -5.146x2 + 0.931x0x2, 0.163x2]",0.8942906260490417,0.0423731803894043
3,"[-0.957x1 -0.785x2, 0.063|x0| + 0.116|x1|]",0.5392034649848938,0.19381210207939148,"[0.998x0 + 0.177x1, 0.147|x1|]",0.010551651008427143,0.04700164496898651,"[0.164 -4.966x2 + 0.885x0x2, 0.188x2]",1.785852313041687,0.08217202872037888
4,"[-0.948x1 -0.952x2, 0.059|x0| + 0.118|x1|]",0.0845501720905304,0.19651731848716736,"[1.001x0 + 0.200x1, 0.154|x1|]",1.2999015780224e-05,0.05995715782046318,"[0.161 -4.918x2 + 0.896x0x2 -0.052x1x2, 0.228x2]",1.5234030485153198,0.17522579431533813
5,"[-1.013x1 -0.912x2, 0.065|x0| + 0.118|x1|]",0.08552811294794083,0.20332323014736176,"[1.011x0 + 0.218x1, 0.156|x1|]",0.008090629242360592,0.06487488001585007,"[0.175 -5.111x2 + 0.919x0x2, 0.227x2]",1.0258218050003052,0.17326098680496216
6,"[-0.996x1 -0.960x2, 0.055|x0| + 0.121|x1|]",0.017159704118967056,0.19975480437278748,"[1.007x0 + 0.183x1, 0.151|x1|]",0.008306627161800861,0.05397868528962135,"[0.191 -5.279x2 + 0.937x0x2, 0.181x2]",0.5543567538261414,0.06952925771474838
7,"[-0.978x1 -0.870x2, 0.494]",0.19288305938243866,0.08865125477313995,"[1.002x0 + 0.219x1, 0.145|x1|]",0.00716422637924552,0.043097324669361115,"[0.149 -4.842x2 + 0.916x0x2 -0.063x1x2, 0.183x2]",2.2004709243774414,0.07394427061080933
8,"[-1.026x1 -1.022x2, 0.504]",0.019368251785635948,0.09096664935350418,"[1.004x0 + 0.161x1, 0.142|x1|]",0.03370446711778641,0.03661196306347847,"[0.169 -5.085x2 + 0.938x0x2, 0.228x2]",1.2194560766220093,0.17425724864006042
9,"[-0.919x1 -1.122x2, 0.067|x0| + 0.114|x1|]",0.2868037819862366,0.19076643884181976,"[0.992x0 + 0.194x1, 0.145|x1|]",0.0019614689517766237,0.04270089045166969,"[0.162 -4.887x2 + 0.897x0x2 -0.066x1x2, 0.173x2]",1.613965630531311,0.057088516652584076
