seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[1.210x**1 -0.705x**3, 0.556 + 0.400x**2 + 0.061|x|]",1.4243874549865723,0.008555452339351177
1,"[1.136x**1 -0.691x**3, 0.559 + 0.453x**2]",1.3978580236434937,0.0034186667762696743
2,"[1.235x**1 -0.791x**3, 0.545 + 0.460x**2]",0.8414857387542725,0.0023195273242890835
3,"[1.159x**1 -0.759x**3, 0.535 + 0.402x**2 + 0.074|x|]",0.9289872050285339,0.0072245169430971146
4,"[1.191x**1 -0.725x**3, 0.525 + 0.391x**2 + 0.115|x|]",1.225921869277954,0.006601229775696993
5,"[1.253x**1 -0.738x**3, 0.522 + 0.392x**2 + 0.108|x|]",1.243193507194519,0.006727741099894047
6,"[1.146x**1 -0.669x**3, 0.536 + 0.407x**2 + 0.071|x|]",1.6114318370819092,0.006358492188155651
7,"[1.140x**1 -0.680x**3, 0.535 + 0.431x**2 + 0.053|x|]",1.50337553024292,0.003616141388192773
8,"[0.900x**1 -0.679x**3, 0.560 + 0.443x**2]",1.1108896732330322,0.0047729285433888435
9,"[-0.114 + 1.241x**1 -0.765x**3, 0.542 + 0.464x**2]",1.0216273069381714,0.001894227578304708
