seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse
0,"[0.999x1, 0.020]",2.6070842977787834e-06,0.0004178561212029308,"[-1.083x0 + 0.956x1 -0.951x0x0x1, 0.212 + 0.091x0x0]",0.019985459744930267,0.00023914732446428388
1,"[0.999x1, 0.021]",5.94608650317241e-07,0.0004274570383131504,"[-0.970x0 + 0.957x1 -0.972x0x0x1, 0.211 + 0.095x0x0]",0.004157918505370617,4.738421193906106e-05
2,"[1.000x1, 0.016]",4.855066322306811e-07,0.0002470484469085932,"[-1.043x0 + 0.971x1 -0.950x0x0x1, 0.203 + 0.095x0x0]",0.010638203471899033,0.00012620448251254857
3,"[0.999x1, 0.017]",2.1463608845806448e-06,0.0002930334594566375,"[-0.992x0 + 1.031x1 -1.008x0x0x1, 0.198 + 0.093x0x0]",0.001336804125458002,0.00039388841832987964
4,"[0.999x1, 0.015]",1.5928288803479518e-06,0.00023456911731045693,"[-1.030x0 + 1.016x1 -0.956x0x0x1, 0.201 + 0.089x0x0]",0.014568721875548363,0.0007008595857769251
5,"[1.000x1, 0.020]",2.6899007821157284e-07,0.0003964983916375786,"[-0.717x0 + 0.949x1 -0.059x0x0x0 -0.888x0x0x1 -0.080x0x1x1, 0.196 + 0.094x0x0]",0.023623187094926834,0.0003933255502488464
6,"[0.999x1, 0.007]",9.132281775237061e-07,5.5001542932586744e-05,"[-1.082x0 + 0.983x1 -0.972x0x0x1, 0.211 + 0.095x0x0]",0.01618199795484543,5.5200373026309535e-05
7,"[1.000x1, 0.000]",2.5200532149938226e-07,0.0,"[-1.071x0 + 1.008x1 -0.967x0x0x1, 0.199 + 0.110x0x0]",0.016368791460990906,0.0006514346459880471
8,"[0.999x1, 0.017]",2.4789424060145393e-06,0.0003041178279090673,"[-0.996x0 + 0.968x1 -0.938x0x0x1, 0.195 + 0.095x0x0]",0.01126120612025261,0.0002948426699731499
9,"[1.000x1, 0.007]",1.7109393013470253e-08,4.506688492256217e-05,"[-1.201x0 + 1.022x1 + 0.057x0x0x0 -0.987x0x0x1, 0.215 + 0.091x0x0]",0.01230926625430584,0.00018443880253471434
