seed,x0_equation,x0_test_drift_mse
0,-0.949*x0*(x0**2 - 1.1),0.01176757924258709
1,x0*(-0.0531*x0 - 0.888)*(x0**2 - 1.09),0.012963589280843735
2,(1.11 - 0.978*x0**2)*(x0 + 0.017),0.016618305817246437
3,-0.958*x0*(x0*(x0 + 0.0238) - 1.11),0.011598591692745686
4,-1.0*x0*(x0**2 - 1.17),0.02791699208319187
5,x0*(-0.993*x0 - 1.05)*(x0 - 1.03),0.006870078854262829
6,-0.946*x0*(x0*(x0 - 0.0235) - 1.11),0.01575811393558979
7,x0*(1.13 - 0.972*x0**2),0.024766745045781136
8,-0.942*x0*(x0**2 - 1.11),0.013526637107133865
9,-1.05*x0*(x0**2 - 1.1),0.008083910681307316
