seed,x0_equation,x0_test_drift_mse,x1_equation,x1_test_drift_mse
0,-0.0146*x0**2*x1 + 0.685*x0,81.36104583740234,0.0461*x0*x1 + 0.2*x0 - 0.347*x1 - 0.26,1.6301993131637573
1,-0.206*x0*(2.88 - 0.165*x1)*(x1 - 1.66) + 1.06,28.697463989257812,0.0332*x0*x1 + 0.229*x0 - 0.311*x1 - 0.354,2.3245608806610107
2,-0.26*x0*(x1 - 1.72) + 1.09,14.894177436828613,0.219*x0 + 0.219*x1*(0.131*x0 - 1.42) - 0.317,2.583926200866699
3,-0.279*x0*(x1 - 1.51) + 1.21,14.409890174865723,0.00319*x0**2*(x1 + 1.01) - 0.32*x1,4.694901466369629
4,(0.587 - 0.328*x1)*(x0*(0.812 - 0.119*x1) + x0),38.89063262939453,0.164*x0 + 0.164*x1*(0.319*x0 - 2.13) - 0.226,1.220715045928955
5,-0.312*x0*(0.0939*x0 + x1 - 1.58) + x0,26.279693603515625,0.197*x0 - 0.209*x1*(1.47 - 0.199*x0) - 0.132,1.7963597774505615
6,(0.643 - 0.311*x1)*(x0 - 0.377*x1 + 2.79),12.79456615447998,0.178*x0 - 0.0342*x1*(-1.3*x0 + x1) - 0.598,2.119903326034546
7,-0.227*x0*(0.124*x0 + x1 - 5.48),37.23194885253906,0.259*x0 + 0.259*x1*(0.108*x0 - 0.0912*x1) - 0.76,2.8496041297912598
8,(x1 - 1.79)*(-0.297*x0 + 0.0793*x1 - 0.674) + 0.919,12.7770414352417,0.155*x0 + 0.0536*x1*(x0 - 6.99),1.2236701250076294
9,-0.22*x0*(x1 - 0.865) + 1.52,27.149330139160156,0.00838*x0*(x0 + 2*x1) - 0.241*x1,4.724184036254883
