seed,equations,test_drift_mse
0,"[x0*(1.13 - 0.401*x1), x1*(0.157*x0 - 0.00755*x1*(x0 - 2.81) - 0.579)]",0.5071139335632324
1,"[(1.14 - 0.419*x1)*(x0 - 0.0462*x1), (x0 - 4.05)*(0.00193*x0 + 0.0973*x1 - 0.034)]",0.25420039892196655
2,"[-0.428*x0*(x1 - 2.83), 0.16*x1*(x0 - 0.0544*x1*(x0 - 2.39) - 3.51)]",0.9878538846969604
3,"[-0.00784*x0**2 + x0*(1.25 - 0.409*x1), (0.099*x0 - 0.397)*(0.0297*x0 + x1 - 0.47)]",1.2055132389068604
4,"[(-0.42*x0 + 0.0233*x1)*(x1 - 2.62), 0.365*(0.276*x0 - 1.16)*(0.022*x0 + x1 - 0.228)]",0.44376903772354126
5,"[(-0.00369*x0**2 - 0.368*x0)*(x1 - 2.86), 0.281*(x0 - 3.78)*(0.321*x1 + 0.247)]",2.411299228668213
6,"[x0*(1.2 - 0.417*x1), (0.00256*x0 + 0.0819*x1)*(x0 - 4.31)]",0.3152950704097748
7,"[(0.971 - 0.357*x1)*(0.00707*x0**2 + x0), x1*(-0.00359*x0*x1 + 0.134*x0 - 0.411)]",0.7686452269554138
8,"[-0.006*x0**2 - 0.42*x0*(x1 - 2.97), (0.0278*x0 + x1)*(0.0868*x0 - 0.354)]",0.9005656838417053
9,"[(1.26 - 0.512*x1)*(-0.0211*x0*x1 + x0), x1*(-0.00367*x0*x1 + 0.138*x0 - 0.398)]",1.1631206274032593
