seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[-0.925*x0**3 + x0, -0.0336*x0**2 + 0.425*x0 + 0.0357]",0.00951053574681282,0.005401477683335543
1,"[-0.931*x0**3 + x0, -0.419*x0]",0.00806806143373251,0.005997797474265099
2,"[x0*(1.29 - 1.14*x0**2), -0.42*x0]",0.017311908304691315,0.005913888569921255
3,"[x0*(1.02 - 0.907*x0**2), -0.495*x0 - 0.0733]",0.019661955535411835,0.005100001115351915
4,"[x0*(1.18 - 0.981*x0**2), 0.428*x0]",0.036699943244457245,0.004804871045053005
5,"[-1.02*x0*(x0*(x0 + 0.0518) - 1.11), -0.42*x0]",0.010047916322946548,0.00590907409787178
6,"[x0*(1.01 - 0.92*x0**2), -0.419*x0]",0.011834892444312572,0.00597277469933033
7,"[-0.9*x0**3 + x0, x0*(-0.0528*x0**2 - 0.363)]",0.016750331968069077,0.005670024547725916
8,"[-0.901*x0*(x0**2 - 1.11), 0.0992 - 0.524*x0]",0.01686752215027809,0.008603844791650772
9,"[-1.08*x0*(x0**2 - 2.05) - 1.08*x0, 0.508*x0 - 0.0893]",0.002973176771774888,0.0074727474711835384
