seed,equations,test_drift_mse,test_diffusion_mse
0,"[-0.39*x0*x1 + 1.11*x0, 0.102*x0*x1 - 0.375*x1, -0.201*x0, 0.204*x1]",0.09006058424711227,0.00021633242431562394
1,"[x0*(1.13 - 0.394*x1), x1*(0.106*x0 - 0.417), 0.205*x0, -0.202*x1]",0.08270727097988129,0.000745763536542654
2,"[-0.394*x0*(x1 - 2.86), 0.104*x1*(x0 - 3.66), -0.2*x0, -0.202*x1]",0.08515911549329758,3.375020605744794e-05
3,"[x0*(1.12 - 0.39*x1), 0.105*x1*(x0 - 3.77) - 0.000863, -0.208*x0, 0.00425*x0*x1 + 0.187*x1]",0.11375492811203003,0.009245469234883785
4,"[-0.389*x0*(x1 - 2.89), 0.114*x1*(x0 - 0.0156*x1*(x0 - 3.58) - 3.71), -0.204*x0, -0.203*x1]",0.17248626053333282,0.0006597259198315442
5,"[-0.39*x0*(x1 - 2.82), 0.101*x1*(x0 - 3.73), -0.205*x0, 0.203*x1]",0.05655474588274956,0.000833098019938916
6,"[-0.391*x0*(x1 - 2.9), -0.289*x1*(1.35 - 0.37*x0), -0.208*x0, 0.2*x1]",0.15534569323062897,0.0020499571692198515
7,"[-0.384*x0*(0.00596*x0 + x1 - 2.89), 0.103*x0*x1 - 0.365*x1, 0.205*x0, -0.197*x1]",0.12766334414482117,0.0007409999379888177
8,"[x0*(1.1 - 0.39*x1), 0.105*x1*(x0 - 3.86), 0.204*x0, 0.199*x1]",0.05840359255671501,0.0005006162682548165
9,"[-0.361*x0*x1 + x0, 0.104*x1*(x0 - 4.16), -0.204*x0, 0.217*x1]",0.4264385998249054,0.0032341124024242163
