seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[-1.01*x0 + x1*x4 - 0.974*x3*x4 + 4.04, 0.169*x0]",0.031063780188560486,0.005536336451768875
1,"[-1.08*x0 + x4*(x1 - 0.969*x3) + 4.06, -0.168*x0]",0.0669352263212204,0.006046540103852749
2,"[-1.03*x0 + x1*x4 - 0.979*x3*x4 + 4.03, -0.157*x0]",0.020720381289720535,0.010531123727560043
3,"[-0.981*x0 + x1*x4 - 0.981*x3*x4 + 4.04, 0.166*x0]",0.02608858048915863,0.00661142123863101
4,"[-1.1*x0 + x4*(x1 - 0.979*x3) + 4.07, 0.178*x0 + 0.0189*x3 + 0.00264*x4 - 0.0451]",0.05997433885931969,0.006998053751885891
5,"[-1.06*x0 + x1*x4 - 0.988*x3*x4 + 4.11, 0.168*x0]",0.023387571796774864,0.006025534123182297
6,"[-1.08*x0 + x4*(x1 - 0.999*x3) + 4.04, -0.0557*x0**2]",0.026876045390963554,0.026950884610414505
7,"[-1.05*x0 + x4*(x1 - 0.985*x3) + 4.1, -0.0575*x0**2]",0.02462337352335453,0.028676142916083336
8,"[-0.98*x0 + x1*x4 - 0.98*x3*x4 + 3.97, -0.169*x0]",0.016597915440797806,0.0057437121868133545
9,"[-1.06*x0 + x1*x4 - 0.986*x3*x4 - 0.0676*x3 + 4.19, -0.166*x0]",0.017694491893053055,0.00669242674484849
