seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse,x2_equation,x2_test_drift_mse,x2_test_diffusion_mse
0,"[-1.0*x1 - 0.945*x2, 0.0999*x0]",0.031796641647815704,5.365777155930118e-07,"[x0 + 0.201*x1, 0.0999*x1]",1.591832005942706e-05,1.5788494067692227e-07,"[0.995*x2*(x0 - 5.54) + 0.196, 0.103*x2 - 0.00397]",0.2786076068878174,0.00011632612586254254
1,"[-1.0*x1 - 0.957*x2, 0.0981*x0]",0.01995714008808136,8.55714242788963e-05,"[x0 + 0.209*x1, -0.000648*x0 - 0.099*x1]",0.0019256504019722342,3.8821450289105996e-05,"[x0*x2 - 5.57*x2 + 0.197, 0.00422 - 0.0931*x2]",0.1681661307811737,0.0005645536002703011
2,"[-1.0*x1 - 0.944*x2, -0.0969*x0]",0.033467087894678116,0.00021476802066899836,"[x0 + 0.193*x1 - 0.0152, -0.0996*x1]",0.0012435187818482518,3.495659484542557e-06,"[x2*(x0 - 5.53) + 0.195, 0.1*x2 - 0.0035]",0.3218154013156891,7.13644158167881e-06
3,"[-1.0*x1 - 0.949*x2, 0.0994*x0 - 0.00157*x2]",0.02820579707622528,4.1694122046465054e-05,"[x0 + 0.189*x1 - 0.00828*x2, 0.0999*x1]",0.0036529372446238995,2.177448834572715e-07,"[x2*(x0 - 5.6) + 0.201, 0.00297 - 0.0961*x2]",0.11234153807163239,0.0001845960068749264
4,"[-1.0*x1 - 0.945*x2, -0.099*x0]",0.032804105430841446,2.2310114218271337e-05,"[x0 + 0.194*x1, 0.0986*x1]",0.0008494803914800286,4.183145210845396e-05,"[-0.271*x2*(-1.88*x0 + x1 + 7.06), 0.00182*x0 - 0.212*x2 + 0.00924]",38.150291442871094,0.13023270666599274
5,"[-1.0*x1 - 0.952*x2, 0.0993*x0]",0.02442893013358116,1.2402414540702011e-05,"[x0 + 0.198*x1 - 0.00565*x2, -0.00108*x0 - 0.0996*x1]",0.0004600046086125076,3.385034142411314e-05,"[x2*(x0 - 5.61) + 0.198, 0.00367 - 0.0968*x2]",0.09534072875976562,0.0001338394795311615
6,"[-1.0*x1 - 0.939*x2, -0.0985*x0]",0.039713889360427856,5.207939102547243e-05,"[x0 + 0.193*x1 - 0.00946*x2, -0.0987*x1]",0.0019959225319325924,3.773494245251641e-05,"[x2*(x0 - 5.6) + 0.199, 0.101*x2 - 0.0042]",0.11159816384315491,2.0474793927860446e-05
7,"[-1.0*x1 - 0.948*x2, -0.0992*x0]",0.02917413040995598,1.5820860426174477e-05,"[x0 + 0.205*x1 - 0.0102*x2, 0.0989*x1]",0.0016462206840515137,2.5889044991345145e-05,"[x2*(x0 - 5.55) + 0.194, -0.000957*x0 + 0.108*x2 - 0.00523]",0.23057401180267334,0.0006667092093266547
8,"[-1.0*x1 - 0.945*x2, 0.0985*x0]",0.03190797567367554,4.9233636673307046e-05,"[x0 + 0.19*x1 - 0.0253, -0.00133*x0 - 0.1*x1]",0.002382277511060238,3.903008109773509e-05,"[x2*(x0 - 5.54) + 0.19, -0.00114*x0*x2 - 0.0974*x2 + 0.00406]",0.2870112359523773,0.00032249465584754944
9,"[-1.0*x1 - 0.947*x2, -0.0981*x0]",0.029819117859005928,8.6684973211959e-05,"[x0 + 0.207*x1 - 0.00961*x2, 0.0996*x1]",0.0019190724706277251,3.3538847219460877e-06,"[x2*(x0 - 5.54) + 0.194, 0.101*x2 - 0.00504]",0.2713843584060669,1.68942533491645e-05
