seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[1.204x**1 -1.089x**3, 0.484|x|]",0.010551073588430882,0.0002463955315761268
1,"[1.125x**1 -1.062x**3, 0.481|x|]",0.003365576034411788,0.0003358722315169871
2,"[1.297x**1 -1.155x**3, 0.482|x|]",0.017662007361650467,0.0003027115308213979
3,"[1.073x**1 -0.051x**2 -1.005x**3, 0.481|x|]",0.0045830849558115005,0.00033231318229809403
4,"[1.255x**1 -1.062x**3, 0.487|x|]",0.030689872801303864,0.00015985120262484998
5,"[1.112x**1 -1.051x**3, 0.482|x|]",0.0029770464170724154,0.0002932593342848122
6,"[1.126x**1 -1.036x**3, 0.477|x|]",0.006478893104940653,0.0004683231236413121
7,"[1.192x**1 -0.992x**3, 0.485|x|]",0.03738689050078392,0.0002067509340122342
8,"[1.181x**1 -1.071x**3, 0.481|x|]",0.009682457894086838,0.00033470988273620605
9,"[1.083x**1 -0.990x**3, 0.482|x|]",0.008282672613859177,0.0003091712424065918
