seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse
0,"[1.087x0 -0.284x0x1, 0.457x0]",10.493403434753418,3.8772242069244385,"[0.060x0 -0.388x1 + 0.076x0x1, 0.374 + 0.168x1]",0.2094588279724121,0.08835571259260178
1,"[0.902x0 -0.285x0x1, 0.378x0]",6.015760898590088,1.8631598949432373,"[-0.320x1 + 0.117x0x1, 0.136 + 0.234|x1|]",0.5215988159179688,0.06644302606582642
2,"[1.112x0 -0.330x0x1, 0.456x0]",4.198838233947754,3.8457260131835938,"[0.089x0 -0.364x1 + 0.052x0x1, 0.195x1 + 0.056|x0|]",0.8925749063491821,0.17708028852939606
3,"[1.062x0 -0.336x0x1, 0.553x0]",2.6577532291412354,7.335738658905029,"[-0.337x1 + 0.079x0x1, 0.103x0 + 0.241x1 -0.065|x0|]",0.2839609980583191,0.14599847793579102
4,"[1.009x0 -0.330x0x1, 0.429x0]",2.466670274734497,3.0750973224639893,"[-0.111 + 0.098x0 -0.384x1 + 0.057x0x1, 0.320 + 0.213|x1|]",0.7247318029403687,0.12931936979293823
5,"[1.245x0 -0.366x0x1, 0.526x0]",3.6734800338745117,6.2555036544799805,"[0.051x0 -0.329x1 + 0.061x0x1, 0.900]",0.6131128668785095,0.463689386844635
6,"[1.118x0 -0.302x0x1, 0.632x0]",8.395490646362305,10.951362609863281,"[0.068x0 -0.344x1 + 0.070x0x1, 0.067x0 + 0.189x1]",0.31346648931503296,0.2506423890590668
7,"[0.998x0 -0.318x0x1, 0.595x0]",3.475562334060669,9.160619735717773,"[-0.380x1 + 0.079x0x1, 0.256x1 + 0.088|x0|]",0.3153645396232605,0.6051364541053772
8,"[1.057x0 -0.303x0x1, 0.308x0]",6.410749435424805,0.6895115971565247,"[0.055x0 -0.355x1 + 0.063x0x1, 0.998]",0.534238874912262,0.5366823077201843
9,"[1.023x0 -0.307x0x1, 0.477x0]",5.171651363372803,4.5245537757873535,"[-0.298x1 + 0.080x0x1, -0.063 + 0.103x0 + 0.235x1 -0.064|x0|]",0.2713719308376312,0.11143037676811218
