seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse
0,"[3.979 -1.033x0 + 0.972x1x4 -0.976x3x4, 0.466]",0.04297306016087532,0.07856278866529465
1,"[4.033 -0.992x0 + 0.965x1x4 -0.976x3x4, 0.612]",0.05187833681702614,0.12004740536212921
2,"[4.154 -1.102x0 + 1.009x1x4 -1.007x3x4, 0.054x0x0]",0.03886621072888374,0.025983532890677452
3,"[4.087 -1.068x0 + 0.996x1x4 -0.984x3x4, 0.446]",0.033020418137311935,0.07616458833217621
4,"[3.991 -1.112x0 + 0.976x1x4 -0.977x3x4, 0.579]",0.10587067902088165,0.10675312578678131
5,"[3.893 -1.055x0 + 0.976x1x4 -0.988x3x4, 0.056x0x0]",0.056501928716897964,0.027092205360531807
6,"[4.035 -1.077x0 + 0.962x1x4 -1.007x3x4, 0.056x0x0]",0.07514671981334686,0.027057083323597908
7,"[4.020 -1.044x0 + 0.980x1x4 -0.987x3x4, 0.412]",0.027053484693169594,0.07404583692550659
8,"[3.915 -1.068x0 + 0.978x1x4 -0.959x3x4, 0.639]",0.09763243794441223,0.13232575356960297
9,"[3.952 -1.077x0 + 0.955x1x4 -0.991x3x4, 0.677]",0.09956883639097214,0.15225601196289062
