seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse
0,"[0.999x1, 0.000]",2.247651991638122e-06,0.0,"[-1.113x0 + 0.964x1 -0.941x0x0x1, 0.186 + 0.108x0x0]",0.034373290836811066,0.00015134643763303757
1,"[0.999x1, 0.000]",8.2110676657976e-07,0.0,"[-1.017x0 + 0.965x1 -0.956x0x0x1, 0.208 + 0.100x0x0]",0.0051721325144171715,7.169736636569723e-05
2,"[0.999x1, 0.000]",8.365225880879734e-07,0.0,"[-0.946x0 + 0.963x1 -0.943x0x0x1, 0.199 + 0.101x0x0]",0.01431981660425663,4.516774424700998e-06
3,"[1.000x1, 0.000]",8.474123802670874e-08,0.0,"[-1.011x0 + 0.987x1 -0.937x0x0x1, 0.195 + 0.105x0x0]",0.014408193528652191,9.487894567428157e-05
4,"[1.000x1, 0.000]",4.850558070756961e-07,0.0,"[-1.073x0 + 0.993x1 -0.957x0x0x1, 0.202 + 0.094x0x0]",0.017583047971129417,0.0001664035808062181
5,"[1.000x1, 0.000]",1.458002287790805e-07,0.0,"[-0.983x0 + 0.967x1 -0.960x0x0x1, 0.204 + 0.099x0x0]",0.0042476896196603775,5.076891739008715e-06
6,"[1.000x1, 0.000]",1.1901123997404284e-07,0.0,"[-0.999x0 + 0.961x1 -0.930x0x0x1, 0.189 + 0.103x0x0]",0.012814962305128574,4.0580795030109584e-05
7,"[0.999x1, 0.000]",2.4617620510980487e-06,0.0,"[-1.002x0 + 1.023x1 -0.982x0x0x1, 0.194 + 0.105x0x0]",0.0042397030629217625,8.682826592121273e-05
8,"[1.000x1, 0.000]",3.110834825292841e-07,0.0,"[-0.969x0 + 0.930x1 -0.923x0x0x1, 0.192 + 0.105x0x0]",0.015517806634306908,7.433254359057173e-05
9,"[0.999x1, 0.000]",3.7162117223488167e-06,0.0,"[-0.948x0 + 0.978x1 -0.938x0x0x1, 0.200 + 0.105x0x0]",0.018030202016234398,0.0001835227885749191
